종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
168490,한국패러랠,"2,485",-35,1.39,"2,530","2,485","29,435","74,216,300","2,525","2,545","2,485",0,원(KRW),"80,020,000","198,849,700,000",
10100,한국프랜지,"12,700",100,0.79,"12,700","12,650","12,379","156,414,350","12,600","12,700","12,550","5,000",원(KRW),"6,090,084","77,344,066,800",
123690,한국화장품,"15,600",400,2.63,"15,600","15,550","175,078","2,713,364,250","15,300","15,700","15,250",500,원(KRW),"16,068,000","250,660,800,000",
3350,한국화장품제조,"28,700",700,2.5,"28,750","28,700","22,259","634,006,900","27,700","28,850","27,700",500,원(KRW),"4,532,000","130,068,400,000",
11500,한농화성,"5,570",30,0,"5,580","5,570","26,536","147,859,910","5,570","5,620","5,540",500,원(KRW),"15,637,042","87,098,323,940",
2390,한독,"23,300",100,0.43,"23,300","23,200","4,672","108,751,550","23,100","23,500","23,100",500,원(KRW),"12,594,080","293,442,064,000",
14790,한라,"4,625",-35,0.75,"4,625","4,620","56,691","261,961,280","4,660","4,740","4,550","5,000",원(KRW),"36,494,942","168,789,106,750",
60980,한라홀딩스,"60,200",30,0,"60,500","60,200","33,643","2,031,532,800","59,200","60,800","59,200","5,000",원(KRW),"10,802,691","650,321,998,200",
53690,한미글로벌,"10,150",-50,0.49,"10,150","10,100","89,268","897,740,370","10,200","10,200","9,990",500,원(KRW),"10,855,588","110,184,218,200",
42700,한미반도체,"18,700",30,0,0,0,0,0,0,0,0,500,원(KRW),"25,432,841","475,594,126,700",
8930,한미사이언스,"60,700","1,100",1.85,"60,800","60,700","109,870","6,674,376,200","59,400","61,400","59,400",500,원(KRW),"62,279,874","3,780,388,351,800",
128940,한미약품,"316,500","7,500",2.43,"317,000","316,500","136,328","43,049,893,500","310,000","318,000","308,500","2,500",원(KRW),"11,163,452","3,533,232,558,000",
9240,한샘,"221,000","2,500",1.14,"221,000","220,500","73,607","16,234,319,750","216,000","222,500","215,000","1,000",원(KRW),"23,533,928","5,200,998,088,000",
20000,한섬,"31,700",850,2.76,"31,700","31,650","79,940","2,522,191,400","30,650","31,950","30,650",500,원(KRW),"24,630,000","780,771,000,000",
3680,한성기업,"7,400",-30,0.4,"7,410","7,400","8,202","60,240,270","7,420","7,420","7,300","5,000",원(KRW),"5,477,951","40,536,837,400",
105630,한세실업,"26,700",150,0.56,"26,750","26,700","147,394","3,915,452,750","26,400","26,750","26,350",500,원(KRW),"40,000,000","1,068,000,000,000",
16450,한세예스24홀딩스,"10,100",160,1.61,"10,100","10,050","20,771","210,336,000","9,950","10,350","9,860",500,원(KRW),"40,000,000","404,000,000,000",
10420,한솔PNS,"2,075",10,0.48,"2,080","2,075","128,227","265,516,565","2,085","2,090","2,020",500,원(KRW),"20,493,012","42,522,999,900",
9180,한솔로지스틱스,"2,510",20,0.8,"2,510","2,500","24,028","60,276,680","2,515","2,520","2,490",500,원(KRW),"16,477,425","41,358,336,750",
213500,한솔제지,"19,200",50,0.26,"19,200","19,150","40,216","771,047,700","19,150","19,250","19,050","5,000",원(KRW),"23,800,576","456,971,059,200",
14680,한솔케미칼,"82,200",600,0.74,"82,200","82,100","27,750","2,279,569,900","80,400","82,600","80,400","5,000",원(KRW),"11,295,195","928,465,029,000",
4710,한솔테크닉스,"15,200",50,0.33,"15,200","15,150","95,852","1,455,056,650","15,150","15,350","15,100","5,000",원(KRW),"22,109,878","336,070,145,600",
4150,한솔홀딩스,"6,400",30,0,"6,400","6,390","40,318","257,346,370","6,390","6,400","6,350","5,000",원(KRW),"46,359,871","296,703,174,400",
25750,한솔홈데코,"1,685",35,2.12,"1,685","1,680","650,261","1,087,505,365","1,650","1,685","1,650","1,000",원(KRW),"80,565,149","135,752,276,065",
4960,한신공영,"18,400",-100,0.54,"18,400","18,350","18,707","343,153,550","18,350","18,700","18,150","5,000",원(KRW),"10,166,455","187,062,772,000",
11700,한신기계,"3,120",30,0.97,"3,130","3,120","159,950","497,675,330","3,080","3,145","3,070",500,원(KRW),"32,446,151","101,231,991,120",
1750,한양증권,"7,560",110,1.48,"7,560","7,550","75,787","571,802,450","7,450","7,580","7,450","5,000",원(KRW),"12,728,534","96,227,717,040",
18880,한온시스템,"8,530",10,0.12,"8,530","8,520","805,759","6,871,352,950","8,450","8,580","8,450",100,원(KRW),"533,800,000","4,553,314,000,000",
9420,한올바이오파마,"12,600",30,0,"12,650","12,600","141,461","1,785,125,550","12,550","12,700","12,550",500,원(KRW),"52,240,638","658,232,038,800",
14130,한익스프레스,"61,500",700,1.15,"61,500","60,900","2,173","132,249,000","59,600","61,700","59,600","5,000",원(KRW),"1,200,000","73,800,000,000",
3300,한일시멘트,"119,500","1,000",0.84,"119,500","119,000","7,524","894,504,000","116,000","120,500","116,000","5,000",원(KRW),"7,545,313","901,664,903,500",
2220,한일철강,"22,600",-350,1.53,"22,650","22,600","1,139","25,751,500","22,700","22,700","22,550","5,000",원(KRW),"2,040,000","46,104,000,000",
51600,한전KPS,"58,800","2,300",4.07,"58,800","58,700","175,757","10,257,384,300","56,100","59,000","56,100",200,원(KRW),"45,000,000","2,646,000,000,000",
52690,한전기술,"23,750",-250,1.04,"23,750","23,700","176,277","4,202,287,150","24,000","24,200","23,650",200,원(KRW),"38,220,000","907,725,000,000",
130660,한전산업,"4,515",-5,0.11,"4,515","4,510","25,291","113,819,470","4,485","4,520","4,485",500,원(KRW),"32,600,000","147,189,000,000",
2320,한진,"30,350",50,0.17,"30,350","30,300","109,906","3,289,248,750","30,050","30,350","29,650","5,000",원(KRW),"11,974,656","363,430,809,600",
97230,한진중공업,"3,505",75,2.19,"3,510","3,505","479,226","1,680,035,305","3,440","3,540","3,440","5,000",원(KRW),"106,052,508","371,714,040,540",
3480,한진중공업홀딩스,"5,270",120,2.33,"5,270","5,220","8,506","44,780,370","5,280","5,300","5,190","5,000",원(KRW),"29,529,812","155,622,109,240",
180640,한진칼,"21,400",850,4.14,"21,400","21,350","676,670","14,470,161,600","20,600","21,750","20,600","2,500",원(KRW),"59,170,458","1,266,247,801,200",
5110,한창,"1,725",25,1.47,"1,730","1,725","362,164","625,173,315","1,700","1,750","1,690",500,원(KRW),"34,458,589","59,441,066,025",
9460,한창제지,"1,125",10,0.9,"1,125","1,120","260,581","290,273,065","1,115","1,125","1,105",500,원(KRW),"59,667,486","67,125,921,750",
880,한화,"40,050",30,0,"40,100","40,050","292,083","11,723,180,900","39,850","40,450","39,850","5,000",원(KRW),"74,958,735","3,002,097,336,750",
27390,한화갤러리아타임월드,"34,350",400,1.18,"34,350","34,300","26,622","909,380,250","33,800","34,550","33,800","5,000",원(KRW),"6,000,131","206,104,499,850",
88350,한화생명,"6,240",70,1.13,"6,240","6,230","1,193,036","7,464,242,684","6,130","6,290","6,130","5,000",원(KRW),"868,530,000","5,419,627,200,000",
370,한화손해보험,"7,470",-20,0.27,"7,470","7,440","157,694","1,176,601,370","7,510","7,530","7,420","5,000",원(KRW),"90,738,915","677,819,695,050",
9830,한화케미칼,"25,200",-250,0.98,"25,250","25,200","756,941","19,079,365,750","25,500","25,600","25,000","5,000",원(KRW),"164,809,359","4,153,195,846,800",
12450,한화테크윈,"50,900",200,0.39,"50,900","50,800","282,040","14,354,681,300","50,500","51,600","50,500","5,000",원(KRW),"53,130,000","2,704,317,000,000",
3530,한화투자증권,"2,740",75,2.81,"2,740","2,735","928,191","2,529,747,890","2,690","2,745","2,680","5,000",원(KRW),"172,442,511","472,492,480,140",
15540,핫텍,"12,650",50,0.4,"12,650","12,600","12,004","150,559,050","12,600","12,750","12,400",500,원(KRW),"3,551,555","44,927,170,750",
195870,해성디에스,"19,250",550,2.94,"19,250","19,150","130,550","2,498,233,150","19,050","19,300","18,800","5,000",원(KRW),"17,000,000","327,250,000,000",
101530,해태제과식품,"20,250",150,0.75,"20,250","20,200","114,263","2,299,488,550","20,100","20,350","19,900",500,원(KRW),"29,116,822","589,615,645,500",
143210,핸즈코퍼레이션,"9,070",30,0.33,"9,070","9,050","37,639","341,220,070","9,000","9,170","9,000",500,원(KRW),"21,863,268","198,299,840,760",
89470,현대EP,"7,800",30,0,"7,820","7,800","65,636","511,033,910","7,780","7,850","7,760",500,원(KRW),"31,900,000","248,820,000,000",
720,현대건설,"47,600",-700,1.45,"47,600","47,550","588,796","28,137,455,950","48,300","48,650","47,350","5,000",원(KRW),"111,355,765","5,300,534,414,000",
5440,현대그린푸드,"16,000",150,0.95,"16,000","15,950","174,274","2,771,110,150","15,700","16,150","15,700",500,원(KRW),"97,704,482","1,563,271,712,000",
86280,현대글로비스,"147,500","2,500",1.72,"147,500","147,000","109,401","16,057,740,000","145,000","148,000","145,000",500,원(KRW),"37,500,000","5,531,250,000,000",
64350,현대로템,"21,600",300,1.41,"21,600","21,550","128,291","2,768,155,650","21,200","21,700","21,200","5,000",원(KRW),"85,000,000","1,836,000,000,000",
79430,현대리바트,"27,950",500,1.82,"27,950","27,900","54,815","1,529,451,450","27,500","28,150","27,400","1,000",원(KRW),"17,261,650","482,463,117,500",
12330,현대모비스,"228,500","-1,500",0.65,"228,500","228,000","168,857","38,432,891,000","226,000","230,500","226,000","5,000",원(KRW),"97,343,863","22,243,072,695,500",
10620,현대미포조선,"92,200",700,0.77,"92,300","92,200","176,265","16,378,621,900","91,100","94,900","91,100","5,000",원(KRW),"20,000,000","1,844,000,000,000",
69960,현대백화점,"109,500",30,0,"109,500","109,000","83,350","9,102,002,000","108,500","110,000","108,000","5,000",원(KRW),"23,402,441","2,562,567,289,500",
4560,현대비앤지스틸,"12,550",-100,0.79,"12,550","12,500","26,711","335,126,050","12,600","12,700","12,450","5,000",원(KRW),"15,078,811","189,239,078,050",
12630,현대산업,"45,600",850,1.9,"45,600","45,550","235,998","10,737,436,800","44,400","45,800","44,400","5,000",원(KRW),"75,384,180","3,437,518,608,000",
11760,현대상사,"21,200",200,0.95,"21,200","20,950","31,377","654,931,700","20,950","21,200","20,800","5,000",원(KRW),"13,228,966","280,454,079,200",
11200,현대상선,"9,030",240,2.73,"9,040","9,030","2,053,577","18,443,547,120","8,800","9,070","8,800","5,000",원(KRW),"177,861,977","1,606,093,652,310",
6390,현대시멘트,"20,900",-100,0.48,"20,950","20,900","4,062","84,618,050","21,000","21,000","20,700","5,000",원(KRW),"16,758,544","350,253,569,600",
4310,현대약품,"4,550",45,1,"4,550","4,530","58,057","262,417,770","4,550","4,555","4,495",500,원(KRW),"28,000,000","127,400,000,000",
126560,현대에이치씨엔,"3,900",15,0.39,"3,910","3,900","147,492","571,408,240","3,930","3,930","3,830",500,원(KRW),"112,876,596","440,218,724,400",
17800,현대엘리베이,"65,000","2,800",4.5,"65,100","65,000","249,854","16,076,746,600","61,900","65,500","61,900","5,000",원(KRW),"24,632,513","1,601,113,345,000",
11210,현대위아,"65,000",-100,0.15,"65,100","65,000","143,589","9,339,282,300","65,000","65,900","64,700","5,000",원(KRW),"27,195,083","1,767,680,395,000",
4020,현대제철,"54,800",-500,0.9,"54,800","54,700","431,380","23,609,476,100","54,900","55,700","54,300","5,000",원(KRW),"133,445,785","7,312,829,018,000",
9540,현대중공업,"165,000",30,0,0,0,0,0,0,0,0,"5,000",원(KRW),"76,000,000","12,540,000,000,000",
5380,현대차,"152,000","1,000",0.66,"152,000","151,500","559,335","84,580,607,776","150,500","153,000","149,500","5,000",원(KRW),"220,276,479","33,482,024,808,000",
227840,현대코퍼레이션홀딩스,"15,800",-50,0.32,"15,900","15,800","16,287","257,491,700","15,800","15,950","15,700","5,000",원(KRW),"9,100,836","143,793,208,800",
1450,현대해상,"37,600",100,0.27,"37,600","37,450","194,548","7,306,329,146","37,750","38,150","37,050",500,원(KRW),"89,400,000","3,361,440,000,000",
57050,현대홈쇼핑,"122,500","2,000",1.66,"122,500","122,000","16,377","1,996,595,000","120,000","123,000","120,000","5,000",원(KRW),"12,000,000","1,470,000,000,000",
93240,형지엘리트,"4,950",10,0.2,"4,950","4,945","120,869","599,815,535","4,950","5,050","4,900",500,원(KRW),"17,831,138","88,264,133,100",
3010,혜인,"4,450",50,1.14,"4,450","4,435","129,254","571,957,660","4,380","4,465","4,380",500,원(KRW),"12,712,747","56,571,724,150",
111110,호전실업,"22,900","1,100",5.05,"22,900","22,700","52,258","1,170,784,150","21,800","22,950","21,300",500,원(KRW),"8,000,000","183,200,000,000",
8770,호텔신라,"54,600","2,700",5.2,"54,700","54,600","794,215","42,641,903,100","52,000","54,800","51,600","5,000",원(KRW),"39,248,121","2,142,947,406,600",
